key,event.type,eventDetector.endEpoch,event.strength,event.periodicity,event.period,mean_time,stddev_time,expression,dispersion,count,medoid,community_ID,nb_events_covered,dispersion,count,number_of_hashtags,covered_events
|2015-07-26 13:02:22	|78302	|-73.7	|40.75	|158833.69	|5	|6	|#herconference,#soproud,#actuallyshecan,#makinmyway,#ohmiss,#hercampus,#jbfchefsandchampaign,#blogger	|
|2015-07-28 18:33:26	|92690	|-73.98	|40.74	|5775.22	|5	|6	|#streetstyle,#london,#paris,#whatsinyourcloset,#modelcitizen,#2011candids,#stellalucia,#felixleblhuber,#stilllife,#renedebathory	|
|2015-07-29 23:38:30	|64280	|-73.97	|40.77	|406.59	|3	|6	|#riseagainst,#letlive,#killswitchengage,#centralparksummerstage,#savior,#jasonbutler	|
|2015-07-23 20:22:16	|571968	|-73.94	|40.77	|11392.58	|5	|5	|#janetjackson,#janet,#nosleeep,#jcole,#rhythmnation,#runaway,#coleworld,#remix,#myjam,#missjacksonifyourenasty	|
|2015-07-24 23:36:57	|138041	|-73.99	|40.76	|214.37	|3	|5	|#cruiselikeanorwegian,#myhappyplace,#norwegiangem,#tesamastermind,#tesacruise,#gotobermuda,#sadface,#ncl,#tilwemeetagain,#boomerangescapes	|
|2015-07-25 03:13:08	|75818	|-74.43	|41.36	|138385.33	|4	|5	|#pennsylvania,#casino,#stuckintraffic,#thelodge,#henryville,#hihaters,#howwedo,#turningstonecasino,#political,#independence	|
|2015-07-28 01:57:38	|149164	|-73.92	|41.07	|45990.99	|3	|5	|#upstate,#tornandfired,#clay,#collage,#manzafamilyfarm,#wassaicfestival,#landrover,#ceramic,#wassaicproject	|
|2015-07-24 18:08:11	|133230	|-73.98	|40.74	|2604.79	|4	|4	|#equinox,#equinoxmademedoit,#manager,#wherearethepeople,#earlyrisersclub,#runcross,#whipped,#flexonlex,#equinoxtrainers	|
|2015-07-24 23:41:44	|115883	|-73.99	|40.72	|20.21	|3	|4	|#obeyyourthirst,#thespritecorner,#betfreestyle,#betfreestylefriday,#randomfinds	|
|2015-07-27 05:52:09	|137182	|-73.99	|40.74	|1952.68	|4	|4	|#cnn,#donaldtrump,#foxnews,#caponennoreaga,#queensshit,#interestingtimesahead,#crowncityamerika	|
|2015-07-26 17:01:17	|152884	|-73.91	|41.14	|45937.96	|4	|4	|#improv,#ucb,#musicomi,#electronicmusic,#classgraduation,#grateful,#midi,#electroacoustic,#quneo,#improv101	|
|2015-07-26 17:49:11	|60406	|-74.81	|41.35	|310439.71	|3	|4	|#tishabav,#kabbalah,#soror,#chabad,#saddestdayinhistory,#mourning,#spritual,#kabbalahcentre,#rebbe,#aka	|
|2015-07-26 20:15:10	|97935	|-74.41	|41.55	|51605.85	|3	|4	|#cheektocheektour,#cheektocheek,#gaga,#ladygaga,#cityslickers,#preconcert,#cheektocheektour2015,#lady,#freshfruit,#briecheese	|
|2015-07-27 00:59:48	|187043	|-73.98	|40.7	|3995.31	|4	|4	|#almonds,#olives,#mozzarella,#blackberryhoneydew,#yesthatsorangehoneydew,#salumi,#feta,#capricciosa,#redonion,#artichokes	|
|2015-07-27 05:09:25	|125095	|-74.04	|41.1	|39911.64	|4	|4	|#hbd,#birthdayparties,#loveya,#alphaphierce,#neverevergrowup,#catskillz,#sneakybastard,#bayker	|
|2015-07-28 20:22:06	|50563	|-73.92	|40.72	|10639.15	|4	|4	|#peru,#amor931fm,#caldwelluniverity,#cevicheinthehouse,#minicoop,#sincensura,#felicidades,#independenceday,#vivaelperu	|
|2015-07-28 13:53:08	|560201	|-73.99	|40.7	|3048.38	|4	|4	|#castparty,#podcast,#ltp,#podcastlove,#radiolab,#replyall,#gimlet	|
|2015-07-23 03:31:53	|8027	|-73.9	|40.75	|13373.85	|3	|3	|#periscope,#canada,#intermission,#canadaday,#10x,#canadaswonderland,#ofgoodstock	|
|2015-07-27 04:03:14	|430824	|-73.94	|40.79	|7337.23	|3	|3	|#dorneypark,#wildmouse,#pennsylvania,#dpbestday,#kindacute	|
|2015-07-27 03:46:28	|43517	|-73.8	|43.05	|0.0	|3	|3	|#bradpaisley,#spac,#heygirlhey,#country,#carrieunderwood,#saratoga,#mickeyguyton,#justinmoore	|
|2015-07-24 13:54:37	|103860	|-73.98	|40.67	|1988.03	|3	|3	|#buzzfeedlive,#exposed,#nogilte,#justgo,#justgod,#fuckemmomoment,#spells,#bebrave,#wineaboutit,#theworld	|
|2015-07-26 01:07:09	|15489	|-74.17	|44.35	|29985.37	|3	|3	|#adirondacks,#summersup,#laka,#lakathesuppup,#collegeroomies,#whitefacemountain,#wildcenter,#yellowlabradorsofinstagram	|
|2015-07-26 02:19:33	|8251	|-73.95	|40.79	|6899.89	|3	|3	|#shakespeare,#seanjohn,#rachelmoses,#hiptohip,#thecomedyoferrors	|
|2015-07-28 17:24:56	|134262	|-73.99	|40.73	|613.15	|3	|3	|#drag,#dragqueen,#dontjudge,#dancemoms,#doglovers,#dogshaming,#dog	|
|2015-07-28 20:42:14	|2084	|-73.96	|40.73	|6617.66	|3	|3	|#nfl,#brady,#thepatriotway,#deflategate,#jlb,#guilty,#football	|
|2015-07-28 19:50:25	|79822	|-73.94	|40.79	|9877.28	|3	|3	|#tea,#macaroons,#oolong,#my	|
|2015-07-29 02:00:21	|127094	|-73.96	|40.74	|3935.78	|3	|3	|#equality,#lgbt,#icanbuycookiesnow,#whenidieiexpect	|
|2015-07-29 22:18:48	|15468	|-73.56	|40.61	|93309.45	|3	|3	|#minime,#isabella,#themilliebean,#dauhterlikemother,#mydivabitch,#princess,#mamasgirl,#myprincess,#beachflow,#jaliyah	|
